koda_letalisce,ime
MOT,Minot International Airport
HHI,Wheeler Army Airfield
MXF,Maxwell Air Force Base
DAL,Dallas Love Field
FCS,Butts AAF (Fort Carson) Air Field
HLN,Helena Regional Airport
NKX,Miramar Marine Corps Air Station - Mitscher Field
LUF,Luke Air Force Base
HHR,Jack Northrop Field Hawthorne Municipal Airport
HUL,Houlton International Airport
END,Vance Air Force Base
NTD,Point Mugu Naval Air Station (Naval Base Ventura Co)
EDW,Edwards Air Force Base
LCH,Lake Charles Regional Airport
KOA,Ellison Onizuka Kona International At Keahole Airport
MYR,Myrtle Beach International Airport
NLC,Lemoore Naval Air Station (Reeves Field) Airport
ACK,Nantucket Memorial Airport
FAF,Felker Army Air Field
HOP,Campbell AAF (Fort Campbell) Air Field
DCA,Ronald Reagan Washington National Airport
NHK,Patuxent River Naval Air Station (Trapnell Field)
PSX,Palacios Municipal Airport
BYH,Arkansas International Airport
ACY,Atlantic City International Airport
TIK,Tinker Air Force Base
ECG,Elizabeth City Regional Airport & Coast Guard Air Station
PUB,Pueblo Memorial Airport
PQI,Northern Maine Regional Airport at Presque Isle
GRF,Gray Army Air Field
ADQ,Kodiak Airport
UPP,Upolu Airport
FLL,Fort Lauderdale Hollywood International Airport
INL,Falls International Airport
SLC,Salt Lake City International Airport
CDS,Childress Municipal Airport
BIX,Keesler Air Force Base
LSF,Lawson Army Air Field (Fort Benning)
NQI,Kingsville Naval Air Station
FRI,Marshall Army Air Field
MDT,Harrisburg International Airport
LNK,Lincoln Airport
LAN,Capital City Airport
MUE,Waimea Kohala Airport
MSS,Massena International Richards Field
HKY,Hickory Regional Airport
SPG,Albert Whitted Airport
FMY,Page Field
IAH,George Bush Intercontinental Houston Airport
ADW,Joint Base Andrews
INT,Smith Reynolds Airport
VCV,Southern California Logistics Airport
CEW,Bob Sikes Airport
PHN,St Clair County International Airport
BFL,Meadows Field
ELP,El Paso International Airport
HRL,Valley International Airport
CAE,Columbia Metropolitan Airport
DMA,Davis Monthan Air Force Base
NPA,Pensacola Naval Air Station/Forrest Sherman Field
PNS,Pensacola Regional Airport
RDR,Grand Forks Air Force Base
HOU,William P Hobby Airport
BFK,Buckley Air Force Base
ORT,Northway Airport
PAQ,"Warren ""Bud"" Woods Palmer Municipal Airport"
PIT,Pittsburgh International Airport
BRW,Wiley Post Will Rogers Memorial Airport
EFD,Ellington Airport
NUW,Whidbey Island Naval Air Station (Ault Field)
ALI,Alice International Airport
VAD,Moody Air Force Base
MIA,Miami International Airport
SEA,Seattle Tacoma International Airport
CHA,Lovell Field
BDR,Igor I Sikorsky Memorial Airport
JAN,Jackson-Medgar Wiley Evers International Airport
GLS,Scholes International At Galveston Airport
LGB,Long Beach /Daugherty Field/ Airport
HDH,Dillingham Airfield
IPT,Williamsport Regional Airport
IND,Indianapolis International Airport
SZL,Whiteman Air Force Base
AKC,Akron Fulton International Airport
GWO,Greenwood–Leflore Airport
HPN,Westchester County Airport
FOK,Francis S Gabreski Airport
JBR,Jonesboro Municipal Airport
XSD,Tonopah Test Range Airport
LNA,Palm Beach County Park Airport
NZY,North Island Naval Air Station-Halsey Field
BIF,Biggs Army Air Field (Fort Bliss)
YUM,Yuma MCAS/Yuma International Airport
CNM,Cavern City Air Terminal
DLH,Duluth International Airport
BET,Bethel Airport
LOU,Bowman Field
FHU,Sierra Vista Municipal Libby Army Air Field
LIH,Lihue Airport
HUF,"Terre Haute Regional Airport, Hulman Field"
HVR,Havre City County Airport
MWH,Grant County International Airport
MPV,Edward F Knapp State Airport
RIC,Richmond International Airport
SHV,Shreveport Regional Airport
CDV,Merle K (Mudhole) Smith Airport
ORF,Norfolk International Airport
BPT,Southeast Texas Regional Airport
SAV,Savannah Hilton Head International Airport
HIF,Hill Air Force Base
OME,Nome Airport
PIE,St Petersburg Clearwater International Airport
MNM,Menominee Regional Airport
CXO,Conroe-North Houston Regional Airport
SCC,Deadhorse Airport
SAT,San Antonio International Airport
ROC,Greater Rochester International Airport
COF,Patrick Air Force Base
TEB,Teterboro Airport
RCA,Ellsworth Air Force Base
RDU,Raleigh Durham International Airport
DAY,James M Cox Dayton International Airport
ENA,Kenai Municipal Airport
MLC,Mc Alester Regional Airport
IAG,Niagara Falls International Airport
CFD,Coulter Field
LIY,Wright AAF (Fort Stewart)/Midcoast Regional Airport
PHF,Newport News Williamsburg International Airport
ESF,Esler Regional Airport
LTS,Altus Air Force Base
TUS,Tucson International Airport
MIB,Minot Air Force Base
BAB,Beale Air Force Base
IKK,Greater Kankakee Airport
GSB,Seymour Johnson Air Force Base
PVD,Theodore Francis Green State Airport
SBY,Salisbury Ocean City Wicomico Regional Airport
BUR,Bob Hope Airport
DTW,Detroit Metropolitan Wayne County Airport
TPA,Tampa International Airport
PMB,Pembina Municipal Airport
POE,Polk Army Air Field
EIL,Eielson Air Force Base
HIB,Range Regional Airport
LFK,Angelina County Airport
MAF,Midland International Airport
GRB,Austin Straubel International Airport
ADM,Ardmore Municipal Airport
WRI,Mc Guire Air Force Base
AGS,Augusta Regional At Bush Field
ISN,Sloulin Field International Airport
LIT,Bill & Hillary Clinton National Airport/Adams Field
SWF,Stewart International Airport
BDE,Baudette International Airport
SAC,Sacramento Executive Airport
HOM,Homer Airport
TBN,Waynesville-St. Robert Regional Forney field
MGE,Dobbins Air Reserve Base
SKA,Fairchild Air Force Base
HTL,Roscommon County - Blodgett Memorial Airport
PAM,Tyndall Air Force Base
DFW,Dallas Fort Worth International Airport
MLB,Melbourne International Airport
TCM,McChord Air Force Base
AUS,Austin Bergstrom International Airport
LCK,Rickenbacker International Airport
MQT,Sawyer International Airport
TYS,McGhee Tyson Airport
HLR,Hood Army Air Field
STL,St Louis Lambert International Airport
MIV,Millville Municipal Airport
SPS,Sheppard Air Force Base-Wichita Falls Municipal Airport
LUK,Cincinnati Municipal Airport Lunken Field
ATL,Hartsfield Jackson Atlanta International Airport
MER,Castle Airport
MCC,Mc Clellan Airfield
GRR,Gerald R. Ford International Airport
INK,Winkler County Airport
FAT,Fresno Yosemite International Airport
VRB,Vero Beach Regional Airport
IPL,Imperial County Airport
BNA,Nashville International Airport
LRD,Laredo International Airport
EDF,Elmendorf Air Force Base
OTZ,Ralph Wien Memorial Airport
AOO,Altoona Blair County Airport
DYS,Dyess Air Force Base
ELD,South Arkansas Regional At Goodwin Field
LGA,La Guardia Airport
TLH,Tallahassee Regional Airport
DPA,Dupage Airport
ACT,Waco Regional Airport
AUG,Augusta State Airport
NIP,Jacksonville Naval Air Station (Towers Field)
MKL,McKellar-Sipes Regional Airport
MKK,Molokai Airport
FTK,Godman Army Air Field
SJT,San Angelo Regional Mathis Field
CXL,Calexico International Airport
CIC,Chico Municipal Airport
BTV,Burlington International Airport
JAX,Jacksonville International Airport
DRO,Durango La Plata County Airport
IAD,Washington Dulles International Airport
CLL,Easterwood Field
SFF,Felts Field
MKE,General Mitchell International Airport
ABI,Abilene Regional Airport
COU,Columbia Regional Airport
PDX,Portland International Airport
TNT,Dade Collier Training and Transition Airport
PBI,Palm Beach International Airport
FTW,Fort Worth Meacham International Airport
OGS,Ogdensburg International Airport
FMH,Cape Cod Coast Guard Air Station
BFI,Boeing Field King County International Airport
SKF,Lackland Air Force Base
HNL,Daniel K Inouye International Airport
DSM,Des Moines International Airport
EWN,Coastal Carolina Regional Airport
SAN,San Diego International Airport
MLU,Monroe Regional Airport
SSC,Shaw Air Force Base
ONT,Ontario International Airport
GVT,Majors Airport
ROW,Roswell International Air Center Airport
DET,Coleman A. Young Municipal Airport
BRO,Brownsville South Padre Island International Airport
DHN,Dothan Regional Airport
WWD,Cape May County Airport
NFL,Fallon Naval Air Station
MTC,Selfridge Air National Guard Base Airport
FMN,Four Corners Regional Airport
CRP,Corpus Christi International Airport
SYR,Syracuse Hancock International Airport
NQX,Naval Air Station Key West/Boca Chica Field
MDW,Chicago Midway International Airport
SJC,Norman Y. Mineta San Jose International Airport
HOB,Lea County Regional Airport
PNE,Northeast Philadelphia Airport
DEN,Denver International Airport
PHL,Philadelphia International Airport
SUX,Sioux Gateway Col. Bud Day Field
MCN,Middle Georgia Regional Airport
TCS,Truth Or Consequences Municipal Airport
PMD,Palmdale Regional/USAF Plant 42 Airport
RND,Randolph Air Force Base
NJK,El Centro NAF Airport (Vraciu Field)
CMH,John Glenn Columbus International Airport
FYV,Drake Field
FSI,Henry Post Army Air Field (Fort Sill)
FFO,Wright-Patterson Air Force Base
GAL,Edward G. Pitka Sr Airport
MWL,Mineral Wells Airport
IAB,Mc Connell Air Force Base
NBG,New Orleans NAS JRB/Alvin Callender Field
BFT,Beaufort County Airport
TXK,Texarkana Regional Webb Field
PBG,Plattsburgh International Airport
APG,Phillips Army Air Field
TCC,Tucumcari Municipal Airport
ANC,Ted Stevens Anchorage International Airport
GRK,Robert Gray  Army Air Field Airport
BLI,Bellingham International Airport
NQA,Millington-Memphis Airport
EKN,Elkins-Randolph Co-Jennings Randolph Field
HFD,Hartford Brainard Airport
SFZ,North Central State Airport
MOB,Mobile Regional Airport
NUQ,Moffett Federal Airfield
SAF,Santa Fe Municipal Airport
BKH,Barking Sands Airport
DRI,Beauregard Regional Airport
BSF,Bradshaw Army Airfield
OLS,Nogales International Airport
MCF,Mac Dill Air Force Base
BLV,Scott AFB/Midamerica Airport
OPF,Opa-locka Executive Airport
DRT,Del Rio International Airport
RSW,Southwest Florida International Airport
AKN,King Salmon Airport
MUI,Muir Army Air Field (Fort Indiantown Gap) Airport
JHM,Kapalua Airport
JFK,John F Kennedy International Airport
HST,Homestead ARB Airport
RAL,Riverside Municipal Airport
FLV,Sherman Army Air Field
WAL,Wallops Flight Facility Airport
HMN,Holloman Air Force Base
NXX,Willow Grove Naval Air Station/Joint Reserve Base
CYS,Cheyenne Regional Jerry Olson Field
SCK,Stockton Metropolitan Airport
CHS,Charleston Air Force Base-International Airport
RNO,Reno Tahoe International Airport
KTN,Ketchikan International Airport
YIP,Willow Run Airport
VBG,Vandenberg Air Force Base
BHM,Birmingham-Shuttlesworth International Airport
NEL,Lakehurst Maxfield Field Airport
SYA,Eareckson Air Station
LSV,Nellis Air Force Base
RIV,March ARB Airport
MOD,Modesto City Co-Harry Sham Field
SMF,Sacramento International Airport
UGN,Waukegan National Airport
COS,City of Colorado Springs Municipal Airport
BUF,Buffalo Niagara International Airport
SKY,Griffing Sandusky Airport
PAE,Snohomish County (Paine Field) Airport
MUO,Mountain Home Air Force Base
CDC,Cedar City Regional Airport
BDL,Bradley International Airport
MFE,Mc Allen Miller International Airport
NGU,Norfolk Naval Station (Chambers Field)
CEF,Westover ARB/Metropolitan Airport
LBB,Lubbock Preston Smith International Airport
ORD,Chicago O'Hare International Airport
BCT,Boca Raton Airport
FAI,Fairbanks International Airport
CVS,Cannon Air Force Base
NGF,Kaneohe Bay MCAS (Marion E. Carl Field) Airport
OFF,Offutt Air Force Base
GKN,Gulkana Airport
ART,Watertown International Airport
PSP,Palm Springs International Airport
AMA,Rick Husband Amarillo International Airport
FOD,Fort Dodge Regional Airport
BAD,Barksdale Air Force Base
FOE,Topeka Regional Airport - Forbes Field
COT,Cotulla-La Salle County Airport
ILM,Wilmington International Airport
BTR,Baton Rouge Metropolitan Airport
TYR,Tyler Pounds Regional Airport
BWI,Baltimore/Washington International Thurgood Marshall Airport
HBR,Hobart Regional Airport
LNY,Lanai Airport
AEX,Alexandria International Airport
WSD,Condron Army Air Field
CDB,Cold Bay Airport
TUL,Tulsa International Airport
SIT,Sitka Rocky Gutierrez Airport
ISP,Long Island Mac Arthur Airport
MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport
ILG,New Castle Airport
DUT,Unalaska Airport
MSY,Louis Armstrong New Orleans International Airport
PWM,Portland International Jetport Airport
OKC,Will Rogers World Airport
ALB,Albany International Airport
VDZ,Valdez Pioneer Field
LFI,Langley Air Force Base
SNA,John Wayne Airport-Orange County Airport
CBM,Columbus Air Force Base
TMB,Kendall-Tamiami Executive Airport
NTU,Oceana Naval Air Station
GUS,Grissom Air Reserve Base
CPR,Casper-Natrona County International Airport
VPS,Destin-Ft Walton Beach Airport
SEM,Craig Field
EYW,Key West International Airport
CLT,Charlotte Douglas International Airport
LAS,McCarran International Airport
MCO,Orlando International Airport
FLO,Florence Regional Airport
GTF,Great Falls International Airport
YNG,Youngstown Warren Regional Airport
FBK,Ladd AAF Airfield
WRB,Robins Air Force Base
BKK,Suvarnabhumi Airport
NAH,Naha Airport
MXB,Andi Jemma Airport
SQR,Soroako Airport
TTR,Pongtiku Airport
KDI,Wolter Monginsidi Airport
SBG,Maimun Saleh Airport
TSY,Cibeureum Airport
MLG,Abdul Rachman Saleh Airport
BDO,Husein Sastranegara International Airport
CBN,Penggung Airport
JOG,Adi Sutjipto International Airport
CXP,Tunggul Wulung Airport
PCB,Pondok Cabe Air Base
SRG,Achmad Yani Airport
BTH,Hang Nadim International Airport
TJQ,Buluh Tumbang (H A S Hanandjoeddin) Airport
PGK,Pangkal Pinang (Depati Amir) Airport
TNJ,Raja Haji Fisabilillah International Airport
SIQ,Dabo Airport
BDJ,Syamsudin Noor Airport
BTW,Batu Licin Airport
PKN,Iskandar Airport
PKY,Tjilik Riwut Airport
MOF,Maumere(Wai Oti) Airport
ENE,Ende (H Hasan Aroeboesman) Airport
RTG,Frans Sales Lega Airport
KOE,El Tari Airport
LBJ,Komodo Airport
BPN,Sultan Aji Muhamad Sulaiman Airport
TRK,Juwata Airport
SRI,Temindung Airport
TSX,Tanjung Santan Airport
AMI,Selaparang Airport
BMU,Muhammad Salahuddin Airport
WGP,Umbu Mehang Kunda Airport
SUB,Juanda International Airport
SOC,Adi Sumarmo Wiryokusumo Airport
ICN,Incheon International Airport
CNX,Chiang Mai International Airport
CEI,Chiang Rai International Airport
NST,Nakhon Si Thammarat Airport
NAK,Nakhon Ratchasima Airport
KOP,Nakhon Phanom Airport
UBP,Ubon Ratchathani Airport
KKC,Khon Kaen Airport
THS,Sukhothai Airport
DPS,Ngurah Rai (Bali) International Airport
ATH,Eleftherios Venizelos International Airport
NGO,Chubu Centrair International Airport
UKB,Kobe Airport
PUW,Pullman Moscow Regional Airport
LWS,Lewiston Nez Perce County Airport
ELM,Elmira Corning Regional Airport
ITH,Ithaca Tompkins Regional Airport
MRY,Monterey Peninsula Airport
SBA,Santa Barbara Municipal Airport
DAB,Daytona Beach International Airport
LPX,Liepāja International Airport
RIX,Riga International Airport
SQQ,Šiauliai International Airport
HLJ,Barysiai Airport
KUN,Kaunas International Airport
PLQ,Palanga International Airport
VNO,Vilnius International Airport
PNV,Panevėžys Air Base
EVN,Zvartnots International Airport
LWN,Gyumri Shirak Airport
ASA,Assab International Airport
ASM,Asmara International Airport
MSW,Massawa International Airport
GZA,Yasser Arafat International Airport
BUS,Batumi International Airport
KUT,Kopitnari Airport
TBS,Tbilisi International Airport
RIY,Mukalla International Airport
TAI,Ta'izz International Airport
HOD,Hodeidah International Airport
ADE,Aden International Airport
AXK,Ataq Airport
AAY,Al Ghaidah International Airport
SAH,Sana'a International Airport
BHN,Beihan Airport
SCT,Socotra International Airport
FMM,Memmingen Allgau Airport
NAV,Nevşehir Kapadokya Airport
EZE,Ministro Pistarini International Airport
EBL,Erbil International Airport
EMD,Emerald Airport
HEW,Athen Helenikon Airport
KIX,Kansai International Airport
JRB,Downtown-Manhattan/Wall St Heliport
TAG,Tagbilaran Airport
JAV,Ilulissat Airport
JCH,Qasigiannguit Heliport
JEG,Aasiaat Airport
PMI,Palma De Mallorca Airport
DRW,Darwin International Airport
URT,Surat Thani Airport
TKA,Talkeetna Airport
GZM,Xewkija Heliport
HVN,Tweed New Haven Airport
AVL,Asheville Regional Airport
GSO,Piedmont Triad International Airport
FSD,Joe Foss Field Airport
AYQ,Ayers Rock Connellan Airport
MHT,Manchester-Boston Regional Airport
APF,Naples Municipal Airport
RDN,LTS Pulau Redang Airport
SDF,Louisville International Standiford Field
CHO,Charlottesville Albemarle Airport
ROA,Roanoke–Blacksburg Regional Airport
LEX,Blue Grass Airport
EVV,Evansville Regional Airport
ABQ,Albuquerque International Sunport
BZN,Gallatin Field
BIL,Billings Logan International Airport
BTM,Bert Mooney Airport
TVC,Cherry Capital Airport
FRS,Mundo Maya International Airport
BHB,Hancock County-Bar Harbor Airport
RKD,Knox County Regional Airport
JAC,Jackson Hole Airport
RFD,Chicago Rockford International Airport
DME,Domodedovo International Airport
SYX,Sanya Phoenix International Airport
MFN,Milford Sound Airport
LJG,Lijiang Airport
GSP,Greenville Spartanburg International Airport
BMI,Central Illinois Regional Airport at Bloomington-Normal
GPT,Gulfport Biloxi International Airport
AZO,Kalamazoo Battle Creek International Airport
TOL,Toledo Express Airport
FWA,Fort Wayne International Airport
DEC,Decatur Airport
CID,The Eastern Iowa Airport
LSE,La Crosse Municipal Airport
CWA,Central Wisconsin Airport
PIA,General Wayne A. Downing Peoria International Airport
ATW,Appleton International Airport
RST,Rochester International Airport
CMI,University of Illinois Willard Airport
MHK,Manhattan Regional Airport
KGC,Kingscote Airport
HVB,Hervey Bay Airport
DLU,Dali Airport
MZV,Mulu Airport
SSH,Sharm El Sheikh International Airport
FKL,Venango Regional Airport
NBO,Jomo Kenyatta International Airport
SEU,Seronera Airport
FTE,El Calafate Airport
ARM,Armidale Airport
GJT,Grand Junction Regional Airport
SGU,St George Municipal Airport
DWH,David Wayne Hooks Memorial Airport
SRQ,Sarasota Bradenton International Airport
BDA,L.F. Wade International International Airport
VNY,Van Nuys Airport
MLI,Quad City International Airport
PFN,Panama City-Bay Co International Airport
HIR,Honiara International Airport
PPT,Faa'a International Airport
INU,Nauru International Airport
FUN,Funafuti International Airport
OVB,Tolmachevo Airport
XKH,Xieng Khouang Airport
BIS,Bismarck Municipal Airport
TEX,Telluride Regional Airport
HGN,Mae Hong Son Airport
RAP,Rapid City Regional Airport
CLD,Mc Clellan-Palomar Airport
FNT,Bishop International Airport
DVO,Francisco Bangoy International Airport
FNC,Madeira Airport
STM,Maestro Wilson Fonseca Airport
KOS,Sihanoukville International Airport
YOA,Ekati Airport
NPE,Hawke's Bay Airport
LEV,Levuka Airfield
LXA,Lhasa Gonggar Airport
RDD,Redding Municipal Airport
EUG,Mahlon Sweet Field
IDA,Idaho Falls Regional Airport
MFR,Rogue Valley International Medford Airport
KBZ,Kaikoura Airport
RDM,Roberts Field
PCN,Picton Aerodrome
WDH,Hosea Kutako International Airport
YWH,Victoria Harbour Seaplane Base
TNA,Yaoqiang Airport
CZX,Changzhou Benniu Airport
YBP,Yibin Caiba Airport
TJM,Roshchino International Airport
CAK,Akron Canton Regional Airport
HSV,Huntsville International Carl T Jones Field
PKB,Mid Ohio Valley Regional Airport
MGM,Montgomery Regional (Dannelly Field) Airport
TRI,Tri-Cities Regional TN/VA Airport
PAH,Barkley Regional Airport
JIB,Djibouti-Ambouli Airport
HAK,Haikou Meilan International Airport
MFA,Mafia Island Airport
PGA,Page Municipal Airport
UII,Utila Airport
FCA,Glacier Park International Airport
MBS,MBS International Airport
BGM,Greater Binghamton/Edwin A Link field
BGW,Baghdad International Airport
NNT,Nan Airport
ROI,Roi Et Airport
BFV,Buri Ram Airport
TDX,Trat Airport
BLH,Blythe Airport
IQA,Al Asad Air Base
TQD,Al Taqaddum Air Base
XQC,Joint Base Balad
CRK,Diosdado Macapagal International Airport
SDK,Sandakan Airport
LXG,Luang Namtha Airport
ODY,Oudomsay Airport
SHE,Taoxian Airport
DOY,Dongying Shengli Airport
MNI,John A. Osborne Airport
PSG,Petersburg James A Johnson Airport
LYA,Luoyang Airport
XUZ,Xuzhou Guanyin Airport
MWQ,Magway Airport
KHM,Kanti Airport
DLI,Lien Khuong Airport
VDH,Dong Hoi Airport
VKG,Rach Gia Airport
CAH,Cà Mau Airport
VCL,Chu Lai International Airport
TBB,Dong Tac Airport
PYY,Mae Hong Son Airport
BWK,Bol Airport
NSI,Yaoundé Nsimalen International Airport
CKY,Conakry International Airport
AAH,Aachen-Merzbrück Airport
FKB,Karlsruhe Baden-Baden Airport
SFB,Orlando Sanford International Airport
JST,John Murtha Johnstown Cambria County Airport
LUA,Lukla Airport
BHP,Bhojpur Airport
LDN,Lamidanda Airport
JMO,Jomsom Airport
NGX,Manang Airport
PPL,Phaplu Airport
RUM,Rumjatar Airport
DNP,Tulsipur Airport
RUK,Rukum Chaurjahari Airport
JUM,Jumla Airport
TPJ,Taplejung Airport
TMI,Tumling Tar Airport
SKH,Surkhet Airport
IMK,Simikot Airport
DOP,Dolpa Airport
BJH,Bajhang Airport
DHI,Dhangarhi Airport
MWX,Muan International Airport
JTY,Astypalaia Airport
JIK,Ikaria Airport
JKL,Kalymnos Airport
MLO,Milos Airport
JNX,Naxos Airport
PAS,Paros National Airport
KZS,Kastelorizo Airport
RMF,Marsa Alam International Airport
NRN,Weeze Airport
USU,Francisco B. Reyes Airport
BXU,Bancasi Airport
DPL,Dipolog Airport
LAO,Laoag International Airport
LGP,Legazpi City International Airport
OZC,Labo Airport
CEB,Mactan Cebu International Airport
NOD,Norden-Norddeich Airport
JUI,Juist Airport
BPS,Porto Seguro Airport
QIG,Iguatu Airport
PMW,Brigadeiro Lysias Rodrigues Airport
CLV,Nelson Ribeiro Guimarães Airport
MSO,Missoula International Airport
BKQ,Blackall Airport
BDB,Bundaberg Airport
GCN,Grand Canyon National Park Airport
SGR,Sugar Land Regional Airport
APA,Centennial Airport
CVN,Clovis Municipal Airport
FST,Fort Stockton Pecos County Airport
LVS,Las Vegas Municipal Airport
IWS,West Houston Airport
LRU,Las Cruces International Airport
BKD,Stephens County Airport
TPL,Draughon Miller Central Texas Regional Airport
OZA,Ozona Municipal Airport
KDM,Kaadedhdhoo Airport
LAK,Aklavik/Freddie Carmichael Airport
YWJ,Déline Airport
ZFN,Tulita Airport
YGH,Fort Good Hope Airport
TAH,Tanna Airport
YPC,Paulatuk (Nora Aliqatchialuk Ruben) Airport
SRZ,El Trompillo Airport
SAB,Juancho E. Yrausquin Airport
EGE,Eagle County Regional Airport
SKN,Stokmarknes Skagen Airport
CGF,Cuyahoga County Airport
MFD,Mansfield Lahm Regional Airport
CSG,Columbus Metropolitan Airport
LAW,Lawton Fort Sill Regional Airport
FNL,Northern Colorado Regional Airport
FLG,Flagstaff Pulliam Airport
TVL,Lake Tahoe Airport
TWF,Joslin Field Magic Valley Regional Airport
MVY,Martha's Vineyard Airport
CON,Concord Municipal Airport
GON,Groton New London Airport
STC,St Cloud Regional Airport
BPE,Qinhuangdao Beidaihe Airport
GTR,Golden Triangle Regional Airport
GOJ,Nizhny Novgorod Strigino International Airport
HQM,Bowerman Airport
ERI,Erie International Tom Ridge Field
HYA,Barnstable Municipal Boardman Polando Field
SPR,San Pedro Airport
SDX,Sedona Airport
MGW,Morgantown Municipal Walter L. Bill Hart Field
CRW,Yeager Airport
AVP,Wilkes Barre Scranton International Airport
BJI,Bemidji Regional Airport
THG,Thangool Airport
FGI,Fagali'i Airport
BNK,Ballina Byron Gateway Airport
FAR,Hector International Airport
MKC,Charles B. Wheeler Downtown Airport
RBE,Ratanakiri Airport
GCC,Gillette Campbell County Airport
TOF,Bogashevo Airport
NZJ,El Toro Marine Corps Air Station
PHY,Phetchabun Airport
CJM,Chumphon Airport
JZH,Jiuzhai Huanglong Airport
SWA,Jieyang Chaoshan International Airport
GEO,Cheddi Jagan International Airport
AGT,Guarani International Airport
OGL,Eugene F. Correira International Airport
KAI,Kaieteur International Airport
DNH,Dunhuang Airport
AOI,Ancona Falconara Airport
TCP,Taba International Airport
LYB,Edward Bodden Airfield
BJV,Milas Bodrum International Airport
TBJ,Tabarka 7 Novembre Airport
SAW,Sabiha Gökçen International Airport
SCE,University Park Airport
BME,Broome International Airport
NTL,Newcastle Airport
KLU,Klagenfurt Airport
HFT,Hammerfest Airport
HVG,Valan Airport
MEH,Mehamn Airport
VDS,Vadsø Airport
IKA,Imam Khomeini International Airport
MHD,Mashhad International Airport
UIK,Ust-Ilimsk Airport
MEI,Key Field
SPI,Abraham Lincoln Capital Airport
CEZ,Cortez Municipal Airport
HDN,Yampa Valley Airport
GUP,Gallup Municipal Airport
LBL,Liberal Mid-America Regional Airport
LAA,Lamar Municipal Airport
GLD,Renner Field-Goodland Municipal Airport
COD,Yellowstone Regional Airport
HOV,"Ørsta-Volda Airport, Hovden"
ISC,St. Mary's Airport
SGF,Springfield Branson National Airport
NVK,Narvik Framnes Airport
BVG,Berlevåg Airport
FBU,"Oslo, Fornebu Airport"
NSK,Norilsk-Alykel Airport
AAQ,Anapa Vityazevo Airport
JLN,Joplin Regional Airport
ABE,Lehigh Valley International Airport
XNA,Northwest Arkansas Regional Airport
GUW,Atyrau Airport
KZO,Kzyl-Orda Southwest Airport
SBN,South Bend Regional Airport
BKA,Bykovo Airport
ARH,Talagi Airport
RTW,Saratov Central Airport
NUX,Novy Urengoy Airport
NOJ,Noyabrsk Airport
SCO,Aktau Airport
UCT,Ukhta Airport
USK,Usinsk Airport
PEX,Pechora Airport
NNM,Naryan Mar Airport
PKV,Pskov Airport
KGP,Kogalym International Airport
KJA,Yemelyanovo Airport
KGF,Sary-Arka Airport
URJ,Uray Airport
IWA,Ivanovo South Airport
CGQ,Longjia Airport
KIJ,Niigata Airport
JON,Johnston Atoll Airport
SMD,Smith Field
ACV,California Redwood Coast-Humboldt County Airport
OAJ,Albert J Ellis Airport
TCL,Tuscaloosa Regional Airport
DBQ,Dubuque Regional Airport
HHP,Shun Tak Heliport
ATD,Uru Harbour Airport
AKS,Gwaunaru'u Airport
BAS,Ballalae Airport
FRE,Fera/Maringe Airport
MBU,Babanakira Airport
IRA,Ngorangora Airport
SCZ,Santa Cruz/Graciosa Bay/Luova Airport
MUA,Munda Airport
GZO,Nusatupe Airport
MNY,Mono Airport
RNL,Rennell/Tingoa Airport
RUS,Marau Airport
VAO,Suavanao Airport
KGE,Kaghau Airport
RBV,Ramata Airport
BUA,Buka Airport
CMU,Chimbu Airport
DAU,Daru Airport
GUR,Gurney Airport
PNP,Girua Airport
HKN,Kimbe Airport
UNG,Kiunga Airport
KRI,Kikori Airport
KMA,Kerema Airport
KVG,Kavieng Airport
MDU,Mendi Airport
MAS,Momote Airport
MXH,Moro Airport
MIS,Misima Island Airport
TIZ,Tari Airport
TBG,Tabubil Airport
RAB,Tokua Airport
VAI,Vanimo Airport
WBM,Wapenamanda Airport
LLU,Alluitsup Paa Heliport
CNP,Neerlerit Inaat Airport
JFR,Paamiut Heliport
JGO,Qeqertarsuaq Heliport
JJU,Qaqortoq Heliport
JSU,Maniitsoq Airport
JNN,Nanortalik Heliport
JNS,Narsaq Heliport
NAQ,Qaanaaq Airport
JHS,Sisimiut Airport
JUV,Upernavik Airport
JQA,Qaarsut Airport
GRY,Grímsey Airport
THO,Thorshofn Airport
VPN,Vopnafjörður Airport
YWS,Whistler/Green Lake Water Aerodrome
YAA,Anahim Lake Airport
YWM,Williams Harbour Airport
YFX,St. Lewis (Fox Harbour) Airport
YHA,Port Hope Simpson Airport
YRG,Rigolet Airport
YCK,Colville Lake Airport
YLE,Whatì Airport
SUR,Summer Beaver Airport
YAX,Wapekeka Airport
WNN,Wunnumin Lake Airport
YNO,North Spirit Lake Airport
XBE,Bearskin Lake Airport
KIF,Kingfisher Lake Airport
YOG,Ogoki Post Airport
YHP,Poplar Hill Airport
YKU,Chisasibi Airport
ZTB,Tête-à-la-Baleine Airport
ZLT,La Tabatière Airport
YAC,Cat Lake Airport
YAG,Fort Frances Municipal Airport
XKS,Kasabonika Airport
YKG,Kangirsuk Airport
YAT,Attawapiskat Airport
YBE,Uranium City Airport
YBX,Lourdes de Blanc Sablon Airport
YRF,Cartwright Airport
YCS,Chesterfield Inlet Airport
YDP,Nain Airport
YER,Fort Severn Airport
YFA,Fort Albany Airport
